Customer_ID,Gender,Age,Browsing_Time,Purchase_Amount,Number_of_Items,Discount_Applied,Total_Transactions,Category,Satisfaction_Score
234,Female,22,114.22,229.71,7,15,12,Electronics,5
235,Female,37,21.88,154.32,2,4,48,Home & Kitchen,3
236,Female,57,68.56,195.09,1,24,10,Beauty,2
237,Female,61,69.94,427.93,6,37,3,Clothing,2
238,Female,18,59.27,375.75,6,37,4,Books,2
239,Male,47,77.72,139.8,2,49,6,Electronics,4
240,Female,38,28.35,63.16,1,37,23,Books,4
241,Female,37,66.77,129.74,3,38,5,Clothing,4
242,Male,23,45.29,460.77,5,47,3,Home & Kitchen,4
243,Female,39,79.74,292.89,6,40,10,Beauty,4
244,Male,35,17.81,269.07,3,25,43,Electronics,5
245,Male,25,68.93,300.21,9,12,19,Beauty,3
246,Female,56,23.05,186.18,5,43,14,Beauty,5
247,Male,49,34.16,404.52,2,25,21,Beauty,3
248,Male,50,27.03,264.03,6,0,43,Beauty,5
249,Male,33,22.76,62.79,8,7,28,Clothing,2
250,Male,29,99.26,68.89,6,3,21,Beauty,1
251,Female,55,35.0,270.75,4,20,36,Beauty,4
252,Male,69,111.33,468.6,6,21,24,Clothing,1
253,Female,51,116.42,157.63,8,36,38,Books,1
254,Male,31,68.98,435.42,8,48,17,Clothing,2
255,Male,53,18.02,383.23,2,2,22,Home & Kitchen,1
256,Male,50,45.57,127.67,8,18,19,Clothing,1
257,Male,40,95.93,22.99,6,0,45,Books,2
258,Female,67,44.72,55.41,2,28,10,Home & Kitchen,3
259,Female,62,11.36,365.6,1,22,11,Home & Kitchen,5
260,Male,19,67.26,103.84,6,32,38,Electronics,1
261,Male,58,101.57,188.78,7,40,2,Beauty,4
262,Female,38,95.72,253.34,5,22,33,Home & Kitchen,2
263,Male,19,21.84,364.11,8,4,43,Home & Kitchen,1
264,Male,44,81.06,61.05,9,6,31,Books,3
265,Male,26,27.24,206.15,4,5,48,Home & Kitchen,3
266,Female,18,26.97,245.11,7,48,35,Books,4
267,Female,28,105.01,272.71,8,21,37,Beauty,1
268,Female,20,30.71,410.09,6,48,47,Electronics,4
269,Male,69,32.33,89.98,2,12,47,Electronics,3
270,Male,40,1.08,404.88,7,11,36,Beauty,3
271,Female,43,104.61,347.97,9,3,23,Beauty,5
272,Female,21,95.32,280.16,5,7,36,Clothing,3
273,Female,35,75.65,351.27,2,36,40,Home & Kitchen,2
274,Female,23,90.28,208.95,4,30,39,Home & Kitchen,5
275,Male,52,19.09,73.51,3,36,26,Home & Kitchen,4
276,Female,39,55.54,334.55,4,44,25,Books,3
277,Male,60,42.8,264.71,7,25,17,Clothing,2
278,Female,32,12.16,321.49,8,42,15,Home & Kitchen,5
279,Male,39,58.85,172.31,1,7,37,Books,2
280,Female,54,110.57,453.9,8,39,45,Books,5
281,Female,69,5.77,295.75,5,32,4,Electronics,5
282,Female,59,35.68,47.27,7,44,22,Books,5
283,Female,29,25.7,227.65,1,28,17,Beauty,4
284,Male,64,29.34,379.4,2,4,22,Books,5
285,Female,66,109.1,398.1,1,27,17,Beauty,5
286,Male,59,56.7,249.83,5,39,14,Beauty,2
287,Male,55,56.49,447.9,6,16,14,Electronics,5
288,Male,35,91.51,137.5,9,22,17,Electronics,4
289,Male,62,19.38,208.25,8,44,8,Books,2
290,Female,52,58.98,449.81,7,8,34,Electronics,5
291,Male,47,52.17,448.65,5,1,26,Electronics,2
292,Male,41,72.03,344.43,3,31,45,Home & Kitchen,4
293,Male,59,119.95,430.2,9,48,30,Books,2
294,Female,47,92.56,48.94,5,30,22,Books,4
295,Female,31,48.35,433.17,3,6,16,Books,3
296,Female,23,99.48,163.71,3,29,30,Electronics,5
297,Female,20,21.31,93.27,3,2,16,Electronics,4
298,Male,33,4.63,123.49,6,8,38,Beauty,5
299,Male,24,25.33,211.89,1,9,24,Clothing,4
300,Female,69,41.51,129.34,4,45,36,Clothing,1
301,Male,31,61.76,163.68,8,49,35,Clothing,1
302,Male,26,74.2,71.81,3,46,6,Home & Kitchen,1
303,Male,32,109.36,151.61,5,25,4,Electronics,4
304,Female,38,61.67,288.28,2,0,18,Beauty,5
305,Female,52,60.65,223.72,2,29,6,Beauty,1
306,Male,19,6.98,176.63,7,37,26,Clothing,5
307,Female,44,5.15,374.49,3,14,37,Home & Kitchen,4
308,Female,19,66.59,447.29,5,24,27,Home & Kitchen,5
309,Female,52,53.14,379.61,3,5,41,Clothing,5
310,Female,35,100.86,169.34,6,17,11,Clothing,1
311,Female,31,20.12,373.5,3,0,38,Electronics,2
312,Male,37,3.97,80.23,8,2,16,Home & Kitchen,3
313,Female,35,54.44,69.51,2,16,19,Beauty,4
314,Male,27,29.26,176.09,3,47,43,Clothing,4
315,Male,42,6.9,404.81,8,7,15,Electronics,4
316,Female,19,87.23,126.94,8,48,26,Beauty,3
317,Male,42,14.28,36.31,1,39,41,Home & Kitchen,2
318,Male,50,73.39,70.2,8,16,31,Clothing,5
319,Male,53,34.44,430.08,2,24,19,Clothing,4
320,Female,48,21.65,318.72,7,40,24,Electronics,5
321,Female,31,46.19,130.33,6,11,9,Electronics,1
322,Male,18,96.37,279.87,2,28,23,Home & Kitchen,1
323,Female,63,47.66,266.15,5,24,4,Clothing,1
324,Female,33,90.34,329.44,7,35,10,Electronics,4
325,Female,63,15.93,120.43,8,24,9,Clothing,3
326,Female,69,92.96,432.88,3,28,19,Home & Kitchen,4
327,Male,20,29.2,158.14,1,10,15,Clothing,1
328,Male,52,81.61,348.6,7,3,34,Beauty,1
329,Female,58,68.33,12.98,5,13,42,Clothing,4
330,Female,23,111.57,189.47,5,45,19,Books,3
331,Male,42,47.09,179.1,7,37,49,Books,3
332,Male,30,8.87,274.02,1,16,21,Home & Kitchen,5
333,Female,51,3.28,41.0,8,1,34,Home & Kitchen,2
334,Male,25,99.4,396.12,5,7,17,Home & Kitchen,1
335,Female,38,63.44,112.8,8,35,18,Beauty,3
336,Female,51,93.25,340.13,5,9,17,Beauty,1
337,Male,21,28.9,402.59,7,6,2,Clothing,2
338,Male,42,42.06,283.13,3,35,1,Electronics,1
339,Female,32,4.58,371.74,2,15,43,Books,3
340,Female,21,115.42,332.62,6,13,10,Books,5
341,Male,62,80.48,180.99,5,15,37,Books,4
342,Female,29,112.05,405.38,9,24,48,Clothing,4
343,Male,49,32.59,150.88,4,40,5,Clothing,3
344,Female,49,73.76,287.75,3,3,12,Home & Kitchen,3
345,Male,45,81.74,373.97,9,28,36,Electronics,2
346,Male,30,38.79,192.58,8,5,31,Home & Kitchen,1
347,Male,48,101.92,154.87,6,0,38,Clothing,2
348,Female,31,113.71,232.38,1,38,9,Beauty,4
349,Female,37,106.3,409.89,1,0,44,Home & Kitchen,1
350,Male,35,88.95,465.31,6,39,26,Clothing,2
351,Female,46,34.02,274.82,3,2,15,Clothing,4
352,Male,23,34.51,332.43,3,0,16,Beauty,1
353,Male,49,115.64,452.12,6,0,13,Beauty,5
354,Female,46,2.22,53.78,3,38,25,Beauty,5
355,Female,60,86.21,119.88,6,20,30,Electronics,2
356,Male,19,85.04,355.91,5,44,7,Clothing,3
357,Female,40,75.1,412.75,4,29,4,Beauty,1
358,Female,36,118.82,429.23,8,31,43,Electronics,2
359,Male,48,38.11,210.48,2,32,40,Books,3
360,Male,68,41.46,49.22,7,47,38,Books,3
361,Female,22,10.39,221.7,4,21,30,Books,1
362,Male,36,53.69,119.21,2,29,10,Clothing,1
363,Male,51,32.06,149.14,7,45,30,Electronics,3
364,Female,27,41.86,387.27,1,3,39,Electronics,4
365,Male,42,100.31,42.39,4,22,7,Books,2
366,Male,19,112.32,414.65,9,43,36,Home & Kitchen,1
367,Female,28,23.1,216.7,4,24,35,Books,3
368,Female,67,45.33,300.05,3,11,24,Clothing,4
369,Male,48,111.51,49.38,2,16,39,Books,5
370,Male,32,8.36,171.99,3,14,36,Books,3
371,Female,26,11.99,49.4,1,9,45,Electronics,4
372,Female,40,20.37,480.96,8,34,20,Books,5
373,Female,36,71.83,404.59,1,28,49,Beauty,4
374,Female,26,18.91,232.52,3,11,32,Beauty,1
375,Male,52,116.2,115.68,3,0,39,Home & Kitchen,3
376,Female,38,54.16,467.06,2,0,49,Clothing,5
377,Female,26,60.68,175.58,5,9,26,Clothing,4
378,Male,45,30.35,84.69,3,17,26,Electronics,5
379,Female,63,57.04,283.77,3,46,36,Clothing,2
380,Male,68,79.77,472.17,8,1,43,Home & Kitchen,3
381,Female,24,90.39,6.9,4,48,35,Beauty,1
382,Female,33,90.71,122.87,4,7,43,Electronics,5
383,Female,33,69.77,469.53,3,21,35,Beauty,4
384,Male,50,108.62,89.69,1,21,12,Home & Kitchen,5
385,Male,21,98.27,61.06,8,25,33,Electronics,4
386,Female,21,91.09,287.24,1,25,36,Books,5
387,Male,56,7.62,431.61,7,8,14,Clothing,1
388,Male,57,1.82,241.17,5,20,33,Home & Kitchen,1
389,Male,34,26.28,497.31,4,30,46,Electronics,3
390,Male,54,79.96,341.19,4,42,45,Beauty,1
391,Male,56,49.93,41.67,8,5,45,Electronics,5
392,Male,69,48.89,496.45,6,13,24,Books,5
393,Female,46,106.27,206.91,1,32,15,Home & Kitchen,1
394,Female,69,107.57,147.26,8,6,31,Electronics,2
395,Male,53,109.19,281.15,2,23,17,Home & Kitchen,5
396,Female,55,38.35,155.63,6,8,12,Home & Kitchen,3
397,Female,56,83.24,47.8,9,10,22,Beauty,2
398,Female,67,33.32,5.71,1,22,23,Clothing,1
399,Female,54,23.68,227.54,6,47,26,Books,4
400,Male,69,22.97,419.25,8,1,14,Electronics,5
401,Female,52,41.71,288.3,2,14,12,Clothing,4
402,Female,24,52.16,499.61,5,34,4,Beauty,3
403,Male,44,99.88,146.99,6,35,46,Clothing,2
404,Male,45,15.27,143.83,5,27,13,Home & Kitchen,4
405,Female,39,88.46,84.08,3,38,18,Home & Kitchen,3
406,Female,31,64.24,86.21,4,43,43,Books,4
407,Female,24,35.27,146.17,7,3,28,Electronics,4
408,Female,54,59.65,397.46,4,9,38,Electronics,3
409,Female,39,36.69,453.35,9,5,41,Beauty,5
410,Female,22,71.93,487.67,2,29,44,Books,4
411,Male,19,52.63,119.98,5,45,19,Electronics,3
412,Female,44,20.56,441.24,8,34,46,Home & Kitchen,4
413,Female,38,14.87,167.49,5,48,47,Books,5
414,Male,55,66.06,60.86,8,42,43,Clothing,3
415,Male,32,108.39,435.66,8,9,38,Books,4
416,Male,38,41.93,319.87,9,31,46,Books,1
417,Male,27,88.23,86.54,6,41,3,Electronics,5
418,Female,40,79.38,217.77,4,41,19,Beauty,4
419,Female,56,111.86,147.19,3,2,20,Beauty,2
420,Female,22,98.7,369.71,5,25,25,Electronics,3
421,Female,18,68.43,229.44,6,14,11,Electronics,4
422,Female,30,79.19,494.69,3,16,17,Electronics,5
423,Female,38,107.91,32.1,2,26,49,Beauty,5
424,Male,43,48.54,180.73,7,17,35,Electronics,2
425,Female,67,39.89,243.54,5,18,14,Clothing,2
426,Male,62,2.29,254.05,9,11,39,Clothing,4
427,Male,38,99.36,161.39,3,23,19,Home & Kitchen,1
428,Female,35,96.32,365.97,8,4,3,Clothing,5
429,Male,54,13.43,438.0,6,23,34,Books,1
430,Female,62,69.65,469.67,4,26,49,Home & Kitchen,1
431,Male,49,56.21,403.52,9,47,41,Clothing,4
432,Female,53,15.13,426.04,5,29,22,Books,3
433,Male,34,117.69,277.52,6,14,38,Clothing,3
434,Female,52,26.55,413.81,9,46,27,Books,3
435,Female,66,9.0,155.23,7,37,21,Electronics,2
436,Female,28,71.79,202.25,5,43,41,Books,5
437,Female,38,88.93,161.87,2,33,31,Electronics,2
438,Female,69,4.86,236.36,4,26,27,Books,5
439,Male,43,79.39,146.36,2,19,37,Books,5
440,Male,21,64.34,481.0,3,40,2,Clothing,5
441,Male,51,13.29,159.86,3,31,47,Books,4
442,Female,69,21.53,53.53,4,3,9,Clothing,3
443,Male,65,68.59,265.77,6,4,19,Books,2
444,Female,35,36.27,33.26,3,7,42,Beauty,2
445,Female,57,112.66,59.72,1,21,36,Home & Kitchen,4
446,Male,52,98.43,113.6,1,41,10,Clothing,5
447,Male,58,118.04,234.85,9,6,40,Clothing,3
448,Female,46,31.9,219.46,9,21,45,Electronics,1
449,Male,69,116.4,400.85,5,45,39,Beauty,1
450,Female,46,52.32,371.04,9,29,7,Electronics,4
451,Female,55,42.35,216.03,7,36,4,Beauty,3
452,Female,59,6.99,170.18,9,15,15,Beauty,1
453,Female,38,7.28,161.65,7,14,12,Books,1
454,Female,59,83.35,388.13,9,4,48,Electronics,2
455,Male,30,55.49,30.78,2,2,6,Home & Kitchen,3
456,Male,66,27.96,11.35,8,22,9,Beauty,1
457,Female,58,74.06,398.79,7,9,35,Beauty,2
458,Female,34,31.09,241.19,6,4,8,Clothing,3
459,Male,26,69.74,69.79,5,22,7,Books,5
460,Male,58,43.75,121.61,4,14,4,Home & Kitchen,3
461,Female,18,99.0,466.59,7,17,13,Beauty,4
462,Male,19,98.66,430.45,3,24,19,Clothing,2
463,Female,65,57.8,356.34,8,7,7,Electronics,5
464,Male,46,42.75,243.7,2,30,10,Beauty,2
465,Female,50,44.14,262.56,1,20,25,Clothing,2
466,Male,27,96.88,487.75,2,1,44,Electronics,1
467,Female,67,40.05,483.06,9,21,35,Books,3
468,Male,57,25.88,111.56,5,7,25,Electronics,2
469,Male,38,11.08,406.5,8,22,29,Beauty,2
470,Female,45,56.54,102.64,3,31,12,Home & Kitchen,4
471,Male,28,58.37,110.7,7,7,47,Electronics,4
472,Female,51,101.07,339.67,2,3,40,Home & Kitchen,4
473,Male,25,27.33,205.48,8,29,12,Home & Kitchen,2
474,Female,39,46.34,466.11,7,18,6,Electronics,5
475,Male,25,97.2,49.06,5,22,10,Books,3
476,Female,66,99.01,258.21,4,17,2,Electronics,2
477,Male,32,46.77,459.67,1,28,45,Clothing,1
478,Female,34,55.64,452.54,5,22,25,Home & Kitchen,5
479,Male,40,37.09,82.48,9,32,7,Beauty,5
480,Female,41,111.97,186.49,4,46,40,Home & Kitchen,3
481,Female,62,15.12,311.47,9,17,23,Beauty,5
482,Female,36,112.12,83.9,2,43,48,Clothing,3
483,Male,22,82.38,484.17,4,32,11,Clothing,5
484,Female,49,64.26,457.8,9,6,36,Clothing,3
485,Male,61,4.89,87.64,4,27,49,Electronics,4
486,Female,18,57.6,64.97,5,0,48,Home & Kitchen,4
487,Male,40,49.52,47.28,8,38,23,Beauty,5
488,Female,54,20.19,455.17,1,33,43,Clothing,5
489,Male,25,79.11,100.84,1,38,7,Clothing,3
